Data Zone,Local Authority Code,Local Authority Name,"Education, Skills and Training domain 2012 rank1","People aged 16-19 not in full time education, employment or training rate 
(School Leavers 2009/10-2010-11, DWP 2010 and 2011)","Proportion of 17- 21 year olds entering higher education 
(HESA 2008/09-2010/11)3","Pupil Performance on SQA at Stage 4 (SQA, 2008/09-2010/11)5","School Pupil Absences 
(Scottish Government, 2009/10-2010/11)4,5"
S01004761,320,North Lanarkshire,442,23,*,96,9.3
S01004762,320,North Lanarkshire,1478,8.75,*,127,7.5
S01004763,320,North Lanarkshire,4027,6,8.74,209,5.7
S01004764,320,North Lanarkshire,1081,10,*,103,8.7
S01004765,320,North Lanarkshire,857,21,*,149,9
S01004766,320,North Lanarkshire,1395,9,*,196,8.5
S01004767,320,North Lanarkshire,1239,9,*,138,10.1
S01004768,320,North Lanarkshire,143,14,*,148,11.3
S01004769,320,North Lanarkshire,1258,11,*,137,7.9
S01004770,320,North Lanarkshire,1845,22.5,6.76,160,8.5
S01004771,320,North Lanarkshire,2854,6,6.31,163,7.9
S01004772,320,North Lanarkshire,472,7.8125,*,205,12
S01004773,320,North Lanarkshire,93,20,*,137,11.7
S01004774,320,North Lanarkshire,5341,4,13.29,159,5
S01004775,320,North Lanarkshire,114,75,*,171,9.3
S01004776,320,North Lanarkshire,2748,12,7.69,164,7.6
S01004777,320,North Lanarkshire,4556,5,7.02,209,4.7
S01004778,320,North Lanarkshire,879,18,*,162,9.8
S01004779,320,North Lanarkshire,1375,17,*,226,7.4
S01004780,320,North Lanarkshire,944,16,*,187,9.3
S01004781,320,North Lanarkshire,2500,7,7.28,216,7.5
S01004782,320,North Lanarkshire,1976,11,5.05,175,8.4
S01004783,320,North Lanarkshire,4829,4,16.17,118,6.1
S01004784,320,North Lanarkshire,1763,5,5.74,125,9.4
S01004785,320,North Lanarkshire,929,15,*,195,8.8
S01004786,320,North Lanarkshire,1871,6,*,153,9.1
S01004787,320,North Lanarkshire,2616,11,5.26,107,6.9
S01004788,320,North Lanarkshire,4687,3,10.6,163,5.1
S01004789,320,North Lanarkshire,1788,12,*,152,9.3
S01004790,320,North Lanarkshire,5047,1,8.22,156,5.4
S01004791,320,North Lanarkshire,3911,2,6.36,139,6.1
S01004792,320,North Lanarkshire,5227,0,7.69,124,5.3
S01004793,320,North Lanarkshire,3093,8,5.99,154,7.5
S01004794,320,North Lanarkshire,892,14,*,117,7.3
S01004795,320,North Lanarkshire,491,13.125,*,191,10.4
S01004796,320,North Lanarkshire,3510,11,7.14,134,5.8
S01004797,320,North Lanarkshire,1958,8,6.14,135,8.6
S01004798,320,North Lanarkshire,41,20,*,154,15
S01004799,320,North Lanarkshire,1196,18,*,118,8.1
S01004800,320,North Lanarkshire,1197,21,8.4,144,9.7
S01004801,320,North Lanarkshire,2122,6,5.79,124,8.2
S01004802,320,North Lanarkshire,1783,26,8.33,181,8.9
S01004803,320,North Lanarkshire,783,12.5,*,176,10.2
S01004804,320,North Lanarkshire,1011,16,*,199,10
S01004805,320,North Lanarkshire,240,12,*,158,11.8
S01004806,320,North Lanarkshire,2004,9.375,*,145,7.2
S01004807,320,North Lanarkshire,1043,18,10.99,113,10.3
S01004808,320,North Lanarkshire,917,27,*,152,8.9
S01004809,320,North Lanarkshire,2563,2,6.76,114,8.3
S01004810,320,North Lanarkshire,350,20,*,143,11.2
S01004811,320,North Lanarkshire,1796,16,*,135,6.5
S01004812,320,North Lanarkshire,299,18,*,135,10
S01004813,320,North Lanarkshire,2335,12,*,212,7.4
S01004814,320,North Lanarkshire,793,10,*,158,11.2
S01004815,320,North Lanarkshire,3492,5,11.88,121,6.3
S01004816,320,North Lanarkshire,1350,13,*,143,7.4
S01004817,320,North Lanarkshire,946,6,*,161,10.7
S01004818,320,North Lanarkshire,785,11,*,102,9.8
S01004819,320,North Lanarkshire,958,10,*,115,9.3
S01004820,320,North Lanarkshire,318,16,*,217,10.4
S01004821,320,North Lanarkshire,1806,7,5.1,197,8
S01004822,320,North Lanarkshire,1025,19,*,159,7.8
S01004823,320,North Lanarkshire,398,19,*,198,10.1
S01004824,320,North Lanarkshire,4659,0,12.1,177,5.8
S01004825,320,North Lanarkshire,953,11.25,*,225,9.3
S01004826,320,North Lanarkshire,277,30,*,125,9.2
S01004827,320,North Lanarkshire,1048,11,*,190,8.4
S01004828,320,North Lanarkshire,2529,5,5.88,179,8
S01004829,320,North Lanarkshire,179,18,*,151,11.8
S01004830,320,North Lanarkshire,408,24,*,160,9.7
S01004831,320,North Lanarkshire,4918,7,7.69,194,4.9
S01004832,320,North Lanarkshire,3633,10,8.29,161,5.7
S01004833,320,North Lanarkshire,1760,6.25,8.11,201,9.2
S01004834,320,North Lanarkshire,4016,4,12.71,186,5.9
S01004835,320,North Lanarkshire,3094,10,10.12,174,7.2
S01004836,320,North Lanarkshire,5026,0,5.49,212,5.3
S01004837,320,North Lanarkshire,732,9,*,208,9.9
S01004838,320,North Lanarkshire,3890,11,10.11,156,5
S01004839,320,North Lanarkshire,2722,10,6.83,167,6.5
S01004840,320,North Lanarkshire,1914,10,5.39,174,7.2
S01004841,320,North Lanarkshire,1811,12,5.26,151,6.8
S01004842,320,North Lanarkshire,4298,9,9.42,174,4.8
S01004843,320,North Lanarkshire,1318,14,*,195,8.4
S01004844,320,North Lanarkshire,3740,3,9.66,135,6.4
S01004845,320,North Lanarkshire,2810,5,*,184,6.7
S01004846,320,North Lanarkshire,1658,11,*,158,8
S01004847,320,North Lanarkshire,5808,1,16.2,180,3.7
S01004848,320,North Lanarkshire,5269,2,8.87,196,4.1
S01004849,320,North Lanarkshire,864,12.5,*,191,8.4
S01004850,320,North Lanarkshire,2746,6,7.51,190,7.7
S01004851,320,North Lanarkshire,1252,10,*,203,8.3
S01004852,320,North Lanarkshire,1013,17,*,210,8.4
S01004853,320,North Lanarkshire,3506,5,8.49,195,5.8
S01004854,320,North Lanarkshire,4590,5,9.09,179,4.7
S01004855,320,North Lanarkshire,1624,7,5.81,185,7.5
S01004856,320,North Lanarkshire,3620,9,14.18,216,5.5
S01004857,320,North Lanarkshire,2471,7,*,149,6.5
S01004858,320,North Lanarkshire,3385,8,8.09,231,5.9
S01004859,320,North Lanarkshire,4581,2,7.95,198,5.5
S01004860,320,North Lanarkshire,3734,8,7.26,190,5
S01004861,320,North Lanarkshire,3685,5,5.2,174,5.9
S01004862,320,North Lanarkshire,4488,4,7.39,223,6.2
S01004863,320,North Lanarkshire,4601,5,12.82,181,6
S01004864,320,North Lanarkshire,4665,7.5,16.1,183,7.1
S01004865,320,North Lanarkshire,2570,11,6.25,173,6.6
S01004866,320,North Lanarkshire,3000,9,7.27,170,7.2
S01004867,320,North Lanarkshire,5161,3,13.64,189,6.5
S01004868,320,North Lanarkshire,1462,12,8.47,189,10.4
S01004869,320,North Lanarkshire,5660,2.5,12.8,131,4.2
S01004870,320,North Lanarkshire,3724,6.25,14.16,183,6.7
S01004871,320,North Lanarkshire,2976,12.5,5.7,160,6.5
S01004872,320,North Lanarkshire,2612,5,8.8,201,8.7
S01004873,320,North Lanarkshire,4009,6,6.36,222,7.5
S01004874,320,North Lanarkshire,2483,12,8.11,152,8.6
S01004875,320,North Lanarkshire,2771,8,7.49,166,8.4
S01004876,320,North Lanarkshire,2639,4,7.76,194,8.3
S01004877,320,North Lanarkshire,1935,7,*,222,8.9
S01004878,320,North Lanarkshire,3250,20,12.75,181,7.9
S01004879,320,North Lanarkshire,2413,22,8.4,128,8.5
S01004880,320,North Lanarkshire,1356,14,*,144,8.4
S01004881,320,North Lanarkshire,2845,8,5.3,222,7.3
S01004882,320,North Lanarkshire,1508,16,*,160,7.8
S01004883,320,North Lanarkshire,3845,6,8.2,202,6.5
S01004884,320,North Lanarkshire,5082,2.5,12.07,169,5.9
S01004885,320,North Lanarkshire,631,22,*,198,9.8
S01004886,320,North Lanarkshire,1530,13,*,250,9.6
S01004887,320,North Lanarkshire,3086,4,*,188,7.8
S01004888,320,North Lanarkshire,5397,1,6.02,174,5.3
S01004889,320,North Lanarkshire,1919,13,*,232,9.8
S01004890,320,North Lanarkshire,364,18,*,157,13.5
S01004891,320,North Lanarkshire,1109,9,*,125,9.7
S01004892,320,North Lanarkshire,5153,3.75,11.84,197,6.3
S01004893,320,North Lanarkshire,1336,10,*,183,10.5
S01004894,320,North Lanarkshire,2421,21,*,190,7.3
S01004895,320,North Lanarkshire,2503,15,6.62,163,7.6
S01004896,320,North Lanarkshire,3102,10,8.04,233,7.1
S01004897,320,North Lanarkshire,5661,4,21.67,168,6.3
S01004898,320,North Lanarkshire,2869,12,8.61,202,8.7
S01004899,320,North Lanarkshire,3537,1,5.84,175,5.9
S01004900,320,North Lanarkshire,5396,4,14.35,231,5.4
S01004901,320,North Lanarkshire,1926,13,*,150,8.2
S01004902,320,North Lanarkshire,1491,17,5.32,173,8.9
S01004903,320,North Lanarkshire,4490,9,9.65,212,5.7
S01004904,320,North Lanarkshire,2221,17,*,178,8.6
S01004905,320,North Lanarkshire,2588,10,6.39,155,9.2
S01004906,320,North Lanarkshire,2816,5,*,191,6.7
S01004907,320,North Lanarkshire,5524,1,10.85,209,5.5
S01004908,320,North Lanarkshire,2276,6,*,170,8.4
S01004909,320,North Lanarkshire,4428,5,9.24,190,6.7
S01004910,320,North Lanarkshire,2194,9,*,181,8.2
S01004911,320,North Lanarkshire,5709,3,5.73,214,4.5
S01004912,320,North Lanarkshire,1903,16,*,190,7.3
S01004913,320,North Lanarkshire,2061,12,6.84,209,8.2
S01004914,320,North Lanarkshire,5467,4,11.02,200,5.1
S01004915,320,North Lanarkshire,2684,10,*,225,6.6
S01004916,320,North Lanarkshire,1448,6.25,*,226,9.8
S01004917,320,North Lanarkshire,5124,0,7.04,233,5.6
S01004918,320,North Lanarkshire,5372,2,11.11,195,5.5
S01004919,320,North Lanarkshire,2028,5,*,121,8.7
S01004920,320,North Lanarkshire,2454,7,*,164,8.3
S01004921,320,North Lanarkshire,2527,7,5.44,157,9.2
S01004922,320,North Lanarkshire,5295,2,12.99,172,5.3
S01004923,320,North Lanarkshire,3846,6,8.82,156,6.1
S01004924,320,North Lanarkshire,4234,2,11.19,196,6.1
S01004925,320,North Lanarkshire,4086,7,10.53,191,6.9
S01004926,320,North Lanarkshire,5766,1,17.62,159,5.2
S01004927,320,North Lanarkshire,4768,6,6.33,165,5.9
S01004928,320,North Lanarkshire,6217,3,19.79,152,4.3
S01004929,320,North Lanarkshire,4561,2,17.43,174,6.3
S01004930,320,North Lanarkshire,893,37.5,8.2,174,9.2
S01004931,320,North Lanarkshire,1828,11,*,180,8.4
S01004932,320,North Lanarkshire,1484,20,*,188,7.3
S01004933,320,North Lanarkshire,2187,9,*,190,7
S01004934,320,North Lanarkshire,1672,15,5.93,204,10
S01004935,320,North Lanarkshire,4047,6,6.4,204,6.6
S01004936,320,North Lanarkshire,3927,9,7.84,195,4.7
S01004937,320,North Lanarkshire,1899,12.5,12.37,206,8.3
S01004938,320,North Lanarkshire,2300,13,*,185,6.1
S01004939,320,North Lanarkshire,1205,17,*,165,9.8
S01004940,320,North Lanarkshire,2620,7,*,189,6.2
S01004941,320,North Lanarkshire,2208,15,*,180,7.6
S01004942,320,North Lanarkshire,3486,5,6.49,161,6.3
S01004943,320,North Lanarkshire,3243,12,12.18,149,6.3
S01004944,320,North Lanarkshire,3223,17,7.14,174,6.4
S01004945,320,North Lanarkshire,5447,7,28.33,184,4.4
S01004946,330,Orkney Islands,4265,3,9.17,193,6.6
S01004947,330,Orkney Islands,4040,3,8.87,194,5.5
S01004948,330,Orkney Islands,3910,13,14.06,200,6.3
S01004949,330,Orkney Islands,3273,3.75,6.19,188,7.4
S01004950,330,Orkney Islands,3990,1,14.84,198,6.9
S01004951,330,Orkney Islands,3047,17,13.04,184,6.3
S01004952,330,Orkney Islands,3561,7,8.38,205,6.7
S01004953,330,Orkney Islands,2116,5,*,197,8.6
S01004954,330,Orkney Islands,1945,8,*,186,8.1
S01004955,330,Orkney Islands,2827,7.5,8.99,157,8.4
S01004956,330,Orkney Islands,4259,7,15.74,190,5.3
S01004957,330,Orkney Islands,4146,3,9.02,214,6.2
S01004958,330,Orkney Islands,3360,10,9.24,187,6.8
S01004959,330,Orkney Islands,3208,7,5.66,220,7
S01004960,330,Orkney Islands,3634,4,7.26,197,6.5
S01004961,330,Orkney Islands,4666,1,12.3,160,5.9
S01004962,330,Orkney Islands,4432,3,14.29,249,6.4
S01004963,330,Orkney Islands,4837,5,18,225,5.2
S01004964,330,Orkney Islands,4350,6,17.69,212,5.9
S01004965,330,Orkney Islands,4129,0,10.42,171,5.9
S01004966,330,Orkney Islands,3714,3,11.43,168,5.4
S01004967,330,Orkney Islands,4486,7,21.28,215,5.9
S01004968,330,Orkney Islands,4116,13,14.75,235,6
S01004969,330,Orkney Islands,2954,14,7.75,210,6.3
S01004970,330,Orkney Islands,2955,7,*,233,6.2
S01004971,330,Orkney Islands,3363,2,12.63,217,9
S01004972,330,Orkney Islands,2957,6,10,179,8
S01004973,340,Perth & Kinross,6026,6,15.69,222,4.1
S01004974,340,Perth & Kinross,5640,5,22.63,205,5.2
S01004975,340,Perth & Kinross,5628,6,29.85,221,5.9
S01004976,340,Perth & Kinross,3211,8,8.13,224,6.5
S01004977,340,Perth & Kinross,2252,9,5.73,208,8.5
S01004978,340,Perth & Kinross,4879,6,11.95,216,5.4
S01004979,340,Perth & Kinross,6224,1,22.15,206,4.1
S01004980,340,Perth & Kinross,5627,2,20.71,196,5.8
S01004981,340,Perth & Kinross,5724,3,16.67,199,5.7
S01004982,340,Perth & Kinross,5762,0,16.54,230,5.4
S01004983,340,Perth & Kinross,3869,7,10,228,5.8
S01004984,340,Perth & Kinross,5538,4,18.88,224,4.7
S01004985,340,Perth & Kinross,5193,1,7.56,212,4.4
S01004986,340,Perth & Kinross,6059,4,25.93,193,4.4
S01004987,340,Perth & Kinross,6281,0,34.29,188,4.5
S01004988,340,Perth & Kinross,5551,5,18.92,155,6
S01004989,340,Perth & Kinross,5449,0,*,189,4.3
S01004990,340,Perth & Kinross,4502,8,8.64,201,6.3
S01004991,340,Perth & Kinross,4568,16,9.84,192,5.5
S01004992,340,Perth & Kinross,3213,8,*,220,5.4
S01004993,340,Perth & Kinross,6214,3,28.92,173,4.5
S01004994,340,Perth & Kinross,5288,2,9.18,161,5.8
S01004995,340,Perth & Kinross,4870,9,11.28,203,4.6
S01004996,340,Perth & Kinross,4942,9,17.39,170,5.9
S01004997,340,Perth & Kinross,4999,5,12.32,206,4.6
S01004998,340,Perth & Kinross,4920,8,17.95,206,5
S01004999,340,Perth & Kinross,2735,5,6.67,180,8
S01005000,340,Perth & Kinross,4279,2,6.1,162,5.1
S01005001,340,Perth & Kinross,5539,2,7.27,199,4.6
S01005002,340,Perth & Kinross,5204,6.25,20,192,5.9
S01005003,340,Perth & Kinross,5071,2,9.49,166,4.8
S01005004,340,Perth & Kinross,4097,5,11.93,201,5.6
S01005005,340,Perth & Kinross,2486,8,5.29,200,7.2
S01005006,340,Perth & Kinross,4358,11,13,206,6.1
S01005007,340,Perth & Kinross,3813,3,10,185,6.2
S01005008,340,Perth & Kinross,5485,0,*,169,4.7
S01005009,340,Perth & Kinross,5603,2,17.92,194,4.4
S01005010,340,Perth & Kinross,3184,7,*,215,5.7
S01005011,340,Perth & Kinross,2256,7,5.67,186,7.2
S01005012,340,Perth & Kinross,3204,8,9.83,187,8.7
S01005013,340,Perth & Kinross,3452,10,8.2,220,5.4
S01005014,340,Perth & Kinross,2226,9,*,174,7
S01005015,340,Perth & Kinross,4908,0,7.69,243,4.8
S01005016,340,Perth & Kinross,3681,7,7.3,195,7.4
S01005017,340,Perth & Kinross,5852,1,21.69,195,5.4
S01005018,340,Perth & Kinross,3459,4,8.94,220,6.3
S01005019,340,Perth & Kinross,1255,14.0625,*,205,8.6
S01005020,340,Perth & Kinross,4883,9.375,20.86,210,6.6
S01005021,340,Perth & Kinross,5543,0,7.55,206,6.1
S01005022,340,Perth & Kinross,5198,2,14.77,211,4.7
S01005023,340,Perth & Kinross,4059,1,5.72,222,6.6
S01005024,340,Perth & Kinross,5393,4,15.71,166,5.5
S01005025,340,Perth & Kinross,3657,5,15.09,214,7.4
S01005026,340,Perth & Kinross,6256,1,18.45,143,4
S01005027,340,Perth & Kinross,4830,5,12.7,202,5.6
S01005028,340,Perth & Kinross,5308,7,11.43,203,4.4
S01005029,340,Perth & Kinross,5067,9,6.99,173,5.1
S01005030,340,Perth & Kinross,5278,11,10.43,92,4.3
S01005031,340,Perth & Kinross,3982,10,*,232,6
S01005032,340,Perth & Kinross,5277,12.5,15.93,192,4.2
S01005033,340,Perth & Kinross,5715,1,13.11,210,4.3
S01005034,340,Perth & Kinross,5373,6,12.5,202,4.6
S01005035,340,Perth & Kinross,3818,2,6.07,211,5.8
S01005036,340,Perth & Kinross,5953,8,24.39,163,4.5
S01005037,340,Perth & Kinross,1141,26,*,246,9.5
S01005038,340,Perth & Kinross,5572,2,16.77,180,4.9
S01005039,340,Perth & Kinross,5271,4,9.84,96,4.4
S01005040,340,Perth & Kinross,1737,12,*,192,9.8
S01005041,340,Perth & Kinross,737,21,*,204,10
S01005042,340,Perth & Kinross,5978,1,7.75,121,3.8
S01005043,340,Perth & Kinross,3566,15,9.09,114,6
S01005044,340,Perth & Kinross,4941,5,12.03,164,5.3
S01005045,340,Perth & Kinross,5065,6,14.13,205,5.3
S01005046,340,Perth & Kinross,5374,2,13.37,137,4.9
S01005047,340,Perth & Kinross,1757,18,*,139,9.3
S01005048,340,Perth & Kinross,6313,4,26.87,124,3.3
S01005049,340,Perth & Kinross,2482,31,*,148,6.9
S01005050,340,Perth & Kinross,319,17,*,231,9.4
S01005051,340,Perth & Kinross,4878,6,9.46,203,4.8
S01005052,340,Perth & Kinross,5154,6,24.24,182,5.9
S01005053,340,Perth & Kinross,787,23,*,242,8.8
S01005054,340,Perth & Kinross,1032,6,*,147,8.7
S01005055,340,Perth & Kinross,1983,12,5.56,96,7.4
S01005056,340,Perth & Kinross,4964,2,14.61,170,6.1
S01005057,340,Perth & Kinross,1241,21,*,140,7.8
S01005058,340,Perth & Kinross,947,13,*,136,8.8
S01005059,340,Perth & Kinross,1292,9,*,202,8.2
S01005060,340,Perth & Kinross,1563,4,*,113,7.4
S01005061,340,Perth & Kinross,5252,7,10.66,140,4.7
S01005062,340,Perth & Kinross,4122,2,6.15,181,7
S01005063,340,Perth & Kinross,4905,2,14.74,194,5.2
S01005064,340,Perth & Kinross,5740,6,13.54,92,4.8
S01005065,340,Perth & Kinross,2323,13,5.97,119,7.6
S01005066,340,Perth & Kinross,37,18,*,177,13.4
S01005067,340,Perth & Kinross,4115,2,8.28,148,7.2
S01005068,340,Perth & Kinross,1676,4,*,153,7.7
S01005069,340,Perth & Kinross,638,25,*,128,10.2
S01005070,340,Perth & Kinross,4479,0,8.13,131,6.8
S01005071,340,Perth & Kinross,125,4,*,194,9.7
S01005072,340,Perth & Kinross,1188,12.5,*,198,8.8
S01005073,340,Perth & Kinross,4382,4,15.63,133,7
S01005074,340,Perth & Kinross,4140,5,9.19,142,6.1
S01005075,340,Perth & Kinross,17,50,*,151,12.3
S01005076,340,Perth & Kinross,367,10,*,189,11
S01005077,340,Perth & Kinross,4419,10,6.3,162,4.3
S01005078,340,Perth & Kinross,1944,14,*,205,6.4
S01005079,340,Perth & Kinross,1709,6,*,232,7.8
S01005080,340,Perth & Kinross,1159,12,6.73,230,9.7
S01005081,340,Perth & Kinross,1476,8,*,168,7.7
S01005082,340,Perth & Kinross,5079,2,5.38,137,4.6
S01005083,340,Perth & Kinross,4467,6.25,8.09,202,5
S01005084,340,Perth & Kinross,1238,11,*,224,8.2
S01005085,340,Perth & Kinross,2708,7,9.41,162,7.2
S01005086,340,Perth & Kinross,1868,10,*,172,6.6
S01005087,340,Perth & Kinross,3680,6.25,*,212,5
S01005088,340,Perth & Kinross,3170,6.25,9.28,201,6.9
S01005089,340,Perth & Kinross,4705,9,10.99,215,4.8
S01005090,340,Perth & Kinross,5537,0,13.98,196,5.6
S01005091,340,Perth & Kinross,5905,2,16.25,185,5.2
S01005092,340,Perth & Kinross,2945,34.375,8.82,170,5
S01005093,340,Perth & Kinross,1333,9.375,*,218,7.5
S01005094,340,Perth & Kinross,5050,3,6.61,168,4.8
S01005095,340,Perth & Kinross,5039,4,10.93,160,5.2
S01005096,340,Perth & Kinross,4256,7,20.31,171,5.3
S01005097,340,Perth & Kinross,4838,3,11.11,179,4.8
S01005098,340,Perth & Kinross,5555,0,13.89,178,5.1
S01005099,340,Perth & Kinross,5346,1.25,13.85,184,4.8
S01005100,340,Perth & Kinross,5432,3,13.46,218,4.7
S01005101,340,Perth & Kinross,4160,7,7.5,205,5.4
S01005102,340,Perth & Kinross,4442,6,15.44,169,5.1
S01005103,340,Perth & Kinross,4544,7,14.77,139,5
S01005104,340,Perth & Kinross,5046,1,*,212,5.2
S01005105,340,Perth & Kinross,2769,11,5.3,194,6.8
S01005106,340,Perth & Kinross,2041,11,*,185,7.5
S01005107,340,Perth & Kinross,4418,5,10.77,193,5.2
S01005108,340,Perth & Kinross,2881,7,*,206,6.1
S01005109,340,Perth & Kinross,4712,3,10.34,205,4.9
S01005110,340,Perth & Kinross,4020,7,11.11,190,6.2
S01005111,340,Perth & Kinross,4797,10.9375,10.59,208,5.3
S01005112,340,Perth & Kinross,4429,3.75,7.25,200,6.1
S01005113,340,Perth & Kinross,2705,9,*,189,6.1
S01005114,340,Perth & Kinross,867,18,*,144,8.6
S01005115,340,Perth & Kinross,4244,5,7.43,206,5.6
S01005116,340,Perth & Kinross,4714,0,8.7,131,5.3
S01005117,340,Perth & Kinross,4928,5,13.53,202,4.3
S01005118,340,Perth & Kinross,4980,3,11.3,154,5.3
S01005119,340,Perth & Kinross,6060,3,20,113,4.6
S01005120,340,Perth & Kinross,4812,2,11.39,166,5.2
S01005121,340,Perth & Kinross,3861,2,5.6,153,6.9
S01005122,340,Perth & Kinross,4585,5,10.77,173,5.4
S01005123,340,Perth & Kinross,3865,7,*,153,5.3
S01005124,340,Perth & Kinross,3544,4,*,179,6.2
S01005125,340,Perth & Kinross,1830,9,*,172,8.2
S01005126,340,Perth & Kinross,5435,0,12.96,171,5
S01005127,340,Perth & Kinross,376,17,*,179,9.8
S01005128,340,Perth & Kinross,3543,5,11.19,171,8.9
S01005129,340,Perth & Kinross,2904,6,9.47,199,6.5
S01005130,340,Perth & Kinross,352,13,*,183,11.8
S01005131,340,Perth & Kinross,3052,5,*,190,6.2
S01005132,340,Perth & Kinross,2756,10,6.72,202,7.6
S01005133,340,Perth & Kinross,3882,11,22.22,219,7.1
S01005134,340,Perth & Kinross,2268,14,*,216,7.6
S01005135,340,Perth & Kinross,4056,8,10.2,189,5.6
S01005136,340,Perth & Kinross,2921,7,*,199,7.2
S01005137,340,Perth & Kinross,3349,6,9.24,209,7
S01005138,340,Perth & Kinross,3282,7,9.09,230,7.4
S01005139,340,Perth & Kinross,3615,2,11.76,160,6.9
S01005140,340,Perth & Kinross,4923,0,12.99,186,7.1
S01005141,340,Perth & Kinross,3919,2,7.87,209,7.6
S01005142,340,Perth & Kinross,4555,3,15.28,183,6
S01005143,340,Perth & Kinross,3732,12,6.71,210,6
S01005144,340,Perth & Kinross,5306,4,15.18,186,4.9
S01005145,340,Perth & Kinross,4218,6,11.22,172,7.4
S01005146,340,Perth & Kinross,4044,4,11.88,160,7
S01005147,340,Perth & Kinross,3365,8,*,169,6.8
S01005148,350,Renfrewshire,4877,16,8.47,154,4.5
S01005149,350,Renfrewshire,5957,5,13.92,146,3.2
S01005150,350,Renfrewshire,3305,9,7.35,203,5.4
S01005151,350,Renfrewshire,3449,18,12.72,151,6.1
S01005152,350,Renfrewshire,4845,6,12.5,149,5
S01005153,350,Renfrewshire,5104,6,8.46,164,3.8
S01005154,350,Renfrewshire,6254,6.25,28.4,191,3.5
S01005155,350,Renfrewshire,4494,3,11.03,112,5.3
S01005156,350,Renfrewshire,2094,16,*,161,6.4
S01005157,350,Renfrewshire,1341,7.8125,*,201,9.4
S01005158,350,Renfrewshire,3500,4,5.88,223,6.1
S01005159,350,Renfrewshire,1996,12,6.6,177,7.9
S01005160,350,Renfrewshire,1973,19,*,136,6.1
S01005161,350,Renfrewshire,3414,10,*,216,6.2
S01005162,350,Renfrewshire,1814,18,*,187,7
S01005163,350,Renfrewshire,1566,16,5.11,164,8.5
S01005164,350,Renfrewshire,2517,11,*,221,6.3
S01005165,350,Renfrewshire,3590,5,7.09,125,5.8
S01005166,350,Renfrewshire,1115,12.5,6.22,127,7.8
S01005167,350,Renfrewshire,1716,22.5,*,126,6.3
S01005168,350,Renfrewshire,4602,6,*,184,4.8
S01005169,350,Renfrewshire,4058,9,*,238,4.9
S01005170,350,Renfrewshire,4349,3,9.57,212,5.8
S01005171,350,Renfrewshire,1070,14,*,158,8.4
S01005172,350,Renfrewshire,5023,3,7.12,142,4.5
S01005173,350,Renfrewshire,4110,3,6.79,109,5.5
S01005174,350,Renfrewshire,2085,12,*,160,6.5
S01005175,350,Renfrewshire,5987,1,19.67,197,4.5
S01005176,350,Renfrewshire,1143,30,5.65,191,7
S01005177,350,Renfrewshire,535,28,*,259,9.4
S01005178,350,Renfrewshire,970,18,5.16,142,8.4
S01005179,350,Renfrewshire,3736,8,7.19,209,5.8
S01005180,350,Renfrewshire,5717,6,9.09,102,4.5
S01005181,350,Renfrewshire,5763,3,13.19,225,4.2
S01005182,350,Renfrewshire,1369,24,*,243,7.8
S01005183,350,Renfrewshire,1386,12,*,187,7.3
S01005184,350,Renfrewshire,87,19,*,207,10.4
S01005185,350,Renfrewshire,1937,10,*,151,7.8
S01005186,350,Renfrewshire,3944,5,10,133,5.8
S01005187,350,Renfrewshire,3339,5,6.25,196,6.4
S01005188,350,Renfrewshire,6363,0,13.38,150,3.8
S01005189,350,Renfrewshire,1644,16,*,218,6.9
S01005190,350,Renfrewshire,5423,2,14.77,146,5.2
S01005191,350,Renfrewshire,169,17,*,152,10.4
S01005192,350,Renfrewshire,5608,4,15.57,197,5.1
S01005193,350,Renfrewshire,6087,1,14.73,228,4.2
S01005194,350,Renfrewshire,3127,10,8.33,180,5.4
S01005195,350,Renfrewshire,5606,0,9.7,220,4.6
S01005196,350,Renfrewshire,1418,24,*,137,7.4
S01005197,350,Renfrewshire,2113,15,9.35,145,7.6
S01005198,350,Renfrewshire,5089,6,12.32,153,4.5
S01005199,350,Renfrewshire,1727,12,5.91,145,8
S01005200,350,Renfrewshire,4858,7,10,121,4.9
S01005201,350,Renfrewshire,1773,18,7.14,199,7.7
S01005202,350,Renfrewshire,1761,13,*,172,7.1
S01005203,350,Renfrewshire,3729,10,8.56,149,6
S01005204,350,Renfrewshire,5365,5,6.96,199,4.3
S01005205,350,Renfrewshire,5144,7,13.19,161,4.8
S01005206,350,Renfrewshire,5774,1,11.96,175,4.4
S01005207,350,Renfrewshire,792,21,*,158,8.9
S01005208,350,Renfrewshire,1493,20,*,163,7.9
S01005209,350,Renfrewshire,2561,9,9.77,210,7.6
S01005210,350,Renfrewshire,2156,12.5,5.88,237,7.8
S01005211,350,Renfrewshire,1271,14,6.36,133,7.4
S01005212,350,Renfrewshire,4667,25,8.14,179,4.1
S01005213,350,Renfrewshire,4343,10,9.26,210,4.9
S01005214,350,Renfrewshire,1521,18,*,170,8.8
S01005215,350,Renfrewshire,2951,13,8.82,169,5.9
S01005216,350,Renfrewshire,2355,17,8.4,114,6.9
S01005217,350,Renfrewshire,2874,12,*,139,7.1
S01005218,350,Renfrewshire,1965,27,6.92,152,6.6
S01005219,350,Renfrewshire,1082,17,*,207,9.6
S01005220,350,Renfrewshire,3611,8,5.13,225,6.1
